threshold,n_crash,prevalence,auroc,auroc_lo,auroc_hi,auprc,brier
20,231,0.25412541254125415,0.9223360579622748,0.884090341171275,0.9558769327580007,0.839203598698627,0.11295568944209848
25,230,0.253025302530253,0.887877700969523,0.8374427404448926,0.9315647712076284,0.7895702613028146,0.12112968702612265
30,228,0.2508250825082508,0.9265690913337674,0.8826492537313433,0.9587942915634682,0.8637728226678343,0.11097142246595491
35,225,0.24752475247524752,0.9126490110047364,0.87049994767264,0.9452717673126241,0.7901588070162519,0.13128171487256
40,223,0.24532453245324531,0.833929260975508,0.7781974945870709,0.8829459248932486,0.6780305877378509,0.13986823040580143
