threshold,n_crash,prevalence,auroc,auroc_lo,auroc_hi,auprc,brier
20,145,0.2746212121212121,0.9434752764432803,0.8969406858647704,0.978540998255094,0.8937094485516064,0.1181044020992637
25,144,0.2727272727272727,0.9379631577038836,0.890250227283896,0.974708044383619,0.886920836131081,0.10304745978236052
30,142,0.2689393939393939,0.9536294823376164,0.9145822335098637,0.9792841880341879,0.8973383345724182,0.1047809723264375
35,139,0.26325757575757575,0.90045180420287,0.8318918853607848,0.9517058941034351,0.828692671552083,0.10888909679567325
40,137,0.25946969696969696,0.880994455994456,0.8219195543956309,0.9296895449088726,0.7392722294333984,0.1298049751016768
